Customer,location,Review
sharan w,UK,Dont trust Make my Trip on any aspect. They r only gud in advertising and nothing else.Dont trust Make my Trip on any aspect. They r only gud in advertising and nothing else.
sharan w,UK,"We had gone with family yo Bangkok,Pattaya and Phuket thru Make My Trip and it was worst experience of our life. The hotels and the restaurants in the itinerary and the ones where they made us stay were different.The lunch and dinner were awful and most of all the travel guide had damn care attitude.PL DONT BOOK THRU MAKE MY TRIP IF U WANT TO ENJOY YR HOLIDAYS.its better to book airlines and hotels direclty and hire a local guide if required."
sudheesh o,"Sudbury, Canada","makenytrip has good deal but worst customer service. once my flight was rescheduled they didn't intimate me so I missed the flight, they refused to take responsibility saying they also didn't know, so when i contacted airlines and again them 3 to 4 times they started saying, we already sent you the mail you missed it . How is it possible they don't know at one point and send mail about the change. I had to spend extra 600$ to rebook the flight . best book directly from airlines."
dubey1312,"Charlotte, North...","Don’t buy Air Ticket from Makemytrip they are worst I will request all my friends not buy Air Ticket from Makemytrip, they purposely provide not cancellable and non modifiable air tickets in name of cheap with no warning or message while booking, even they don’t pull good options for customer, I lost my $1800, better you don’t face same.Don’t buy Air Ticket from Makemytrip they are worst I will request all my friends not buy Air Ticket from Makemytrip, they purposely provide not cancellable and non modifiable air tickets in name of cheap with no warning or message while booking, even they don’t pull good options for customer, I lost my $1800, better you don’t face same."
rohit s,"New Delhi, India","i have booked 3 nights 4 days package of hotel and flight with make my trip ,I was booked by makemytrip for sea princess beach resort, but to my utter horror when i reached the hotel reception i was told that there are no rooms available . i made a lot of calls to makemytrip office and was finally sent to a hotel in city without giving me any options for another beach resort. i was booked for a beach resort and not a hotel in city and i had a horrific time as my entire holidays were ruined due to makemytrip's inefficiency . whenever i talk to make my trip customer care agents they always tell me that this will take 24 - 48 hours . This has been going for almost a week"
CA_Rajat,"New Delhi, India","I made one hotel booking from MMT for a hotel recommended by MMT and the hotel they claim under 100% money back guarantee. None of the facility mentioned on MMT for the hotel were provided at the hotel. I called the MMT helpline atleast 5 times but my problem was not solved at all. Finally I submitted my claim, where in MMT has informed that they have found my claim correct but offered 10% i.e. Rs 400 as against my booking amount of Rs 4000. This shows that the 100% money back guarantee of MMT is just to make FOOL of the customers.{If any MMT official is reading, you can check the details of Complaint Ref ID 130206-042166.I made one hotel booking from MMT for a hotel recommended by MMT and the hotel they claim under 100% money back guarantee. None of the facility mentioned on MMT for the hotel were provided at the hotel. I called the MMT helpline atleast 5 times but my problem was not solved at all. Finally I submitted my claim, where in MMT has informed that they have found my claim correct but offered 10% i.e. Rs 400 as against my booking amount of Rs 4000. This shows that the 100% money back guarantee of MMT is just to make FOOL of the customers.{If any MMT official is reading, you can check the details of Complaint Ref ID 130206-042166."
Hari E,Bangalore,the travel advisors are arrogant and miss leading. we have to listen what they say and increase the budget and change the location as they say. I we ask a genuine question they will feel bad and ask us to talk politely and hung up. So I suggested her to make the site name to makehertrip.comSeriosly wasted my time talking to them. If you have lot of time do business with themthe travel advisors are arrogant and miss leading. we have to listen what they say and increase the budget and change the location as they say. I we ask a genuine question they will feel bad and ask us to talk politely and hung up. So I suggested her to make the site name to makehertrip.comSeriosly wasted my time talking to them. If you have lot of time do business with them
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
Go My J,"New Delhi, India",don't give him credit card details they were charge and not provide you proper services as you required they can't follow his writtendon't give him credit card details they were charge and not provide you proper services as you required they can't follow his written
steevennsmithh,bhopal,"hi.........................................................welcome to this forum site, it is best site give for better information about anything. you can found lots of information about your question and find out many answers.hi.........................................................welcome to this forum site, it is best site give for better information about anything. you can found lots of information about your question and find out many answers."
steevennsmithh,bhopal,"hi friendsi am anewbies here, sorry for that i don't knowhi friendsi am anewbies here, sorry for that i don't know"
steevennsmithh,bhopal,you can booked your ticket via makemytrip.com. you can also booked your trip via following website1. yatra.com2.irctc.co.in3. cleartrip.comyou can booked your ticket via makemytrip.com. you can also booked your trip via following website1. yatra.com2.irctc.co.in3. cleartrip.com
gramamhomestay,cochin,"Dear Friends,Be careful when you book a hotel or other services from Makemytrip. The Customer service is very poor.My property Gramam Homestay was listed on Makemytrip website. The guests Mr. Wolfgang Hass & Ms. Marika Urban from Australia booked my homestay for 2 nights, 4 - 6 Feb. 2013 through makemytrip.com . I trusted the Makemytrip company and they send me a cheque (HDFC bank cheque no. 371003 dated 04- 02- 2013 ) for the booking a day before guests departure. The cheque was issued in a wrong account name and I could not encash the cheque. I contacted makemytrip several times to reissue the cheque in correct account name. But they never replied or considered my request. I have lost the money for 2 nights at my homestay. The cheque and vouchers are still with me. But thankfully now I have removed the listing of Gramam Homestay from Makemytrip.So be careful when you book through make my trip. They will cheat you or your accommodation owner.....Jos - Gramam Homestay, Cochin"
buddishB,"Bengaluru, India","Yes, MAKEMYTRIP.com is pathetic in customer care.Please do not book through MakeMyTrip.com this is useless site, they do know what is customer care..., for them it is enigma, Also DO NOT BOOK ""OLA CABS"", ""OLA CABS"" from this stupid site. OLA CABS dont know what is business, As usual i paid make through make my trip.com and OLA CABS asks money when we are about to leave, hights , both these stupid companies do not have co-ordination ...etc. Also OLA CAB drivers do not know what is a TRIP SHEET, till date they havent provided one, neither Make mytrip followed up and got it for me, even though i raised a complaint on makemytrip.comPlease do not land into trouble using Makemytrip.com and OLACABS.Yes, MAKEMYTRIP.com is pathetic in customer care.Please do not book through MakeMyTrip.com this is useless site, they do know what is customer care..., for them it is enigma, Also DO NOT BOOK ""OLA CABS"", ""OLA CABS"" from this stupid site. OLA CABS dont know what is business, As usual i paid make through make my trip.com and OLA CABS asks money when we are about to leave, hights , both these stupid companies do not have co-ordination ...etc. Also OLA CAB drivers do not know what is a TRIP SHEET, till date they havent provided one, neither Make mytrip followed up and got it for me, even though i raised a complaint on makemytrip.comPlease do not land into trouble using Makemytrip.com and OLACABS."
RaghuKalyan,"San Jose, California","""Please suggest affordable and safe hotels/homestays to stay in Vashist area near Manali"" Duration : 1 D/ 1 Night"
JBswiss27,Montreux...,"DO NOT USE THIS PORTAL AS MAKEMYTRIP HAS ZERO CUSTOMER SERVICE.Here is my experience:I have had the same disastrous experience as the below customers. I bought a return ticket. The airline cancelled the return flight (2 months prior to the date) and as I need to connect with another international flight, I requested a refund with the comment following reply: ""Dear Mr. Bxxxxxxxd, Greetings from MakeMyTrip ! With the reference to your below e-mail we would like to inform you that we got the final confirmation from the airline as there is no full refund will be given as they are giving us the option for schedule change."" As I got no more replies to my further request of full refund (as I simply could not believe I was treated this badly), I then decided to try to change the date of the ticket and I got the following reply requesting me to pay a change penalty: ""Dear Mr. Bxxxxxxxd, Greetings from MakeMyTrip! We would like to inform you that for date change you need to call us on our help line. You will be charge the date change penalty AED 100 + fare difference (subject to availability) Per passenger"" What to say? The customer service logic and lack of integrity in doing business is so unbelievable unacceptable that it is laughable. The company has really MadeMyTrip a very expensive one, so AVOID DOING ANY BOOKINGS ON THIS SITE."
JBswiss27,Montreux...,Comments from other unfortunate MakeMyTrip users:mouthshut.com/review/MakeMyTrip-com-review-s…Comments from other unfortunate MakeMyTrip users:mouthshut.com/review/MakeMyTrip-com-review-s…
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
JBswiss27,Montreux...,Same happened to me. DO NOT USE THIS PORTAL if you are expecting any customer service and they are completely unreliable.Please refer to the very interesting reviews (including my own under JBswiss) of this portal from the below website:mouthshut.com/websites/MakeMyTrip-com-review…Same happened to me. DO NOT USE THIS PORTAL if you are expecting any customer service and they are completely unreliable.Please refer to the very interesting reviews (including my own under JBswiss) of this portal from the below website:mouthshut.com/websites/MakeMyTrip-com-review…
johnnysmusiq,"Ottawa, Canada","Dear makemytrip ambassador and employee, how come you reply within seconds of any posts regarding make my trip ?Dear makemytrip ambassador and employee, how come you reply within seconds of any posts regarding make my trip ?"
kishin u u,India,MAKEMYTRIP is a Slick company and will overcharge after you enter your card details. I have their email to confirm and are blaming on computer glitch. I intend to take this with my bank. So Be ware.Kishin Uttamchandani.20th May13MAKEMYTRIP is a Slick company and will overcharge after you enter your card details. I have their email to confirm and are blaming on computer glitch. I intend to take this with my bank. So Be ware.Kishin Uttamchandani.20th May13
chirag desai,"Ujjain, India",I also thought the same as other reviewers but currently MMT has shown such a great gesture that nowi have restored the regards for this company. I had a severe problem in hotel booking during my kashmir visit. After a long discussion with MMT I finally got my complete refund from them which I have used in my coming switzerland trip.Really pleased with the service of MMT.I also thought the same as other reviewers but currently MMT has shown such a great gesture that nowi have restored the regards for this company. I had a severe problem in hotel booking during my kashmir visit. After a long discussion with MMT I finally got my complete refund from them which I have used in my coming switzerland trip.Really pleased with the service of MMT.
Alfeeda I,"Bengaluru, India","HORRIBLE EXPERIENCE EVER WHILE BOOKING A FLIGHT TICKET :(Booking experience was good until last time. On 14th May'13 while booking a flight ticket from JRH to BLR the amount of INR 7003 was deducted before even confirming the booking. After receiving a debit amount message on the phone the Make My Trip pops up with a screen confirming that the booking was ""Unsuccessful"". Same day while contacting the Make My Trip customer care team for the unsuccessful booking and for he debit amount refund, I was asked to provide the person details for whom the booking was made and also was informed that I will get a call back from Make My Trip which never happened till date. I was then asked to present the Bank Statement which confirms the deduction of the amount. After doing this it is almost two weeks now that there is no response from the team ""MAKE MY TRIP"". Only some unwanted ""DO NOT REPLY"" mail exchange is happening. This is the customer service level they talk about. No money is refunded till date. In fact I was again asked by the customer care team to re-present an up to date bank statement (which was already provided) and lodge a complaint at the bank. Its is a blaming game happening here between MAKE MY TRIP and bank. Almost 5-6 times MAKE MY TRIP customer care team conveyed to me to wait for 3 WORKING DAYS (72HRS) and the money will be refunded. BUT I am standing on 3rd June'13 today and there is no re-fund.Firstly, the customers patience level is being tested on a high level.Secondly, huge wastage of time by telling to wait for 3 working days (72 hrs) which looks like the customers of MAKE MY TRIP are jobless.Hopefully any concern person of MAKE MY TRIP reads this message and assist on receiving the refunded amount. Highly shameful and disappointing act by MAKE MY TRIP.Thanks."
Neha Choubey,"Bengaluru, India","The worst website you would ever come across. The icing on the cake is their customer care, they keep the calls on hold as if its all for free and you are the most idol person waiting just for them to talk to you. If they cant answer your queries they would simply disconnect your call. I have not received my refund for the flight tickets i cancelled 15 days back. For this they just procrastinate and are doing simply nothing. A lady named SPARDHA put my call on hold for multiple times and ultimately disconnected when she could not answer the query. Not dealing again !!!"
srini r,"Usa, Japan",DO NOT BOOK with MAKEMYTRIP. Heed my words. I am still waiting for a refund even after several months and numerous calls. They say their management are graduates from IIM and MBA schools. This shows the low standards of IIM and MBA schools that have such farts as their alumni with no skills in customer serviceDO NOT BOOK with MAKEMYTRIP. Heed my words. I am still waiting for a refund even after several months and numerous calls. They say their management are graduates from IIM and MBA schools. This shows the low standards of IIM and MBA schools that have such farts as their alumni with no skills in customer service
srini r,"Usa, Japan","Surprising, I could not find even a SINGLE word of praise for makemytrip on the entire internet. Is the management listening!!Surprising, I could not find even a SINGLE word of praise for makemytrip on the entire internet. Is the management listening!!"
sub r,usa,"was looking for help to book a flight from NYC to Bangalore and was given an outrageous fare by the agent.  Below are the details. The emirates website had a fare cost of $2411 and was given a fare of $5822(more than twice) by your agent  and the worst part, he asked me to check the website too(did he think we are dumb customers that do not know about the internet!!!)  See the freak agent trying to give me a $10 discount(to buy peanuts ?) on Air India and the airfare quoted on that flight was also outrageous  (there were three other colleagues of mine that had similar experience-quoted outrageous airfare. A CEO friend of mine was quoted a business airfare cost for economy travel and was told that all business class seats were full. he paid and travelled and then realized his folly!)  Manjeet Nain: kindly check the flight details  me: what is the cost  Manjeet Nain: now the fare is coming 1910 usd  Manjeet Nain: only 3 seats left in this fare  me: I was given a flight from nyc to Bangalore via Dubai for usd1825. does that not exist now  Manjeet Nain: in this flight you can carry 2 PC of baggage +7 kg handbag + laptop bag  Manjeet Nain: in Emirates flight right?  me: yes  Manjeet Nain: in emirates fare is coming USD 5822  me: this is more than thrice of the original fare that was given to me yesterday?  Manjeet Nain: yes  Manjeet Nain: your departure is very close  Manjeet Nain: now  Manjeet Nain: only 2 days left  me: it cannot be true. thanks for the help  Manjeet Nain: so the fare is automatically increase  Manjeet Nain: if you will book it air india i will provide 10 USD discount  me: I can understand the fare increasing by $500 , but not by three folds over a matter of 6 hrs  Manjeet Nain: you can check on the website  Manjeet Nain: as well  Manjeet Nain: fare is increased now  Manjeet Nain: kindly advice  me: $2411.20 is the emirates website rate. are you trying to help or cheat me  Manjeet Nain: let me check  me: no need, you tried to cheat me and lost my confidence. damn it"
NellyYangthy,"Gothenburg, Sweden","I will never ever use Makemytrip, if you want to reroute the sector with the same airlines which is very much possible, it is Make my trip responsible to co-ordinate between airlines and customer. Makemytrip will not even border to look at the matter. Their customer service is the worst part if you are 3 hours jobless just to reach the right department, keep on-hold and disconnected finally than call 1-800-102 8747."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
jainankit7,"Noida, India","Hotel denied confirmed booking from MakeMyTrip with claim that booking was not confirm by hotel.On request from MakeMyTrip , Hotel offered sub-standard rooms, ( on forth floor with no lift). Got Deluxe-Room @ better standard hotel, Srinagar @ 30% less price taken by current booking.Very Rudeless support from MakeMytrip with no responsibility"
jainankit7,"Noida, India","Hotel denied confirmed booking from MakeMyTrip with claim that booking was not confirm by hotel.On request from MakeMyTrip , Hotel offered sub-standard rooms, ( on forth floor with no lift). Got Deluxe-Room @ better standard hotel, Srinagar @ 30% less price taken by current booking.Very Rude support from MakeMytrip with no responsibility"
chirag desai,"Ujjain, India",Thats something very good from MMT.Thats something very good from MMT.
TexasTang,"Dallas, Texas","This exact same incident happened to me. I showed up at the airport only to find that our tickets had been voided (including our return flight). I quickly checked my bank account to find that the money had been debited. Then I was transferred and hung up on several times by customer service agents. When they finally refunded the money, they charged me a cancellation fee. It's absolutely disgraceful that this company still operates under the customer service policies that they deploy. Moreover, their rates are no better than any other aggregators or than booking directly through the airline's site. Use them to research fares, but DO NOT book your ticket through this organization. Worst experience ever."
kavitha m,"Calgary, Canada","One of the worst customer service, when they have to give refund of cancelled ticket, they will put you on hold and disconnect you.One of the worst customer service, when they have to give refund of cancelled ticket, they will put you on hold and disconnect you."
kavitha m,"Calgary, Canada","we have to keep calling them like fools, please think 100 times before you book with themwe have to keep calling them like fools, please think 100 times before you book with them"
sorabh123,Bangalore District...,"Worst Booking Portal You Can Possibly Choose for your Holiday Bookings. I trusted them for my Pattaya and Bangkok trip with My Parents adn Wife, and we were disapponted all the way.First they charged more as they guranteed ServiceThank just couple of days before the date of departure they changed the supplier and there was big messAnd the Mess and Torture continued thereafter through the trip.I have pledged not to use MakeMyTrip Again for Any Holiday Bookings"
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
Desh M,Bangalore,"I completely agree!!They did the exact same thing to me.On top of that, just in order to deny the moneyback, they indulged in lying and misrepresenting. I am planning on filing a case on them, let me know if you are willing to join hands.We need not tolerate such nonsence from them!Regards,DeshI completely agree!!They did the exact same thing to me.On top of that, just in order to deny the moneyback, they indulged in lying and misrepresenting. I am planning on filing a case on them, let me know if you are willing to join hands.We need not tolerate such nonsence from them!Regards,Desh"
ajit309,"Kota, India","this is what is wrote to makemytrip - and it had been 2 days and yet no replyTo Shivali (make my trip)Nov 8 at 5:21 PMhello Thank you for arranging our trip. But sadly it was not at all as promised. Few things that should be noted by your team members.1. Do you know what a 3 star hotel standard is? What criterias should be met before a hotel is called a three star. The hotel manager himself is telling that it is a 2 star hotel.2. Hotel silverine serves the similar menu 2 days in a row with pathetic quality of food and no options at all.3. there was no welcome drink and instead we were charged for coffee that they served (i assumed it to be a welcome drink). WOW a 3 star hotel.2. Should you consider giving a customer Innova which has already run 3 lakhs kilometers a wise decision. Realising that we have to go for 8 hrs continuous journey and 10 hrs in return trip to ambala.3. The driver is trying to make money through customers - and arguing after coming late - was it nice?So, I understand one thing now. Make my trip makes its own trip looting the customers. They are not interested in customers. huh,Ajit Agrawal"
Arpit G,"Jaipur, India",Yes definitely the service of MMT is not good enoughYes definitely the service of MMT is not good enough
Ram K,"Doha, Qatar","Very poor coustmer service. Once payment done, you can never cancell your trip are change your plan.You will never get your money back and you can never contact the same person who did your bookings and follow up.Very poor coustmer service. Once payment done, you can never cancell your trip are change your plan.You will never get your money back and you can never contact the same person who did your bookings and follow up."
rickyNY1947,NewYork,"The Customer care is horrible, Once u booked a Ticket they don't even bother to listen u carefully. Frustated with the arrogance of the guy on the phone, Though never had any problem earlier with Domestic flight but now has a very nasty experience with my international travel. Would never recommend any one if u are booking for international. Good Luck"
sanjyoth,"Bengaluru, India","Hello,I had booked my honeymoon holiday package: Romantic Sojourn at The Leela, Kovalam. Though i had a great stay at Leela Kovalam but i have few disappointing feedbacks to makemytrip service offering.All my feed back is related to this site link:www.makemytrip.com/holidays/india/package… 1) In the mail i got after payment it was mentioned that all the details related to package will be sent within 3 days from the date of our arrival at leela but it was not sent till the day we started our travel to leela. Also it was sent only after i repeated started calling for the same to makemytrip toll free number. Really very disappointed.2) When i initially called the make my trip representative before booking i was told that a tour guide was included in my package and he would take us to site seeing but once we reached leela and called makemytrip we were told its not included with my package. Why the hell your representatives give wrong information to customers i dont' know :(..If it was not included i would have opted for other package but simply by wrong information from representative i booked this package and lost little more money and time. 3) In the site link: its mentioned that except for the departure date all other days had both breakfast and dinner included. But once we reached the leela hotel we were told we had only breakfast bookings. I had initially confirmed from your representatives that we had both breakfast and dinner included and he had confirmed its included in our package but seemed like its not. Soon after reaching there called to toll free number and connected to shivakumar from make my trip and he told dinner is not included :(. If its not included why do you guys include both breakfast and dinner in your site remove it and help others to choose wisely. REALLY DISAPPOINTED.4) In the hotel voucher there was nothing related to leela kovalam.I am really happy with Leela representatives and they looked after us very well but makemytrip representatives gave wrong informations, wrong deals about dinner and breakfast inclusions and no tour guide."
Deepak S,Framingham...,"BIG NO to makemytrip.No one should ever buy tickets through makemytrip. I made a mistake of buying an International ticket from them with Booking ID (IN1306B6S51413). They changed the flight details without informing us. Incidentally, I came to know about the changes while adding one more passenger to the same booking otherwise we would have missed the flight.Now, from last 5 days I have been calling customer care to issue the new e-ticket but they fail to do so. Travel is in 4 days and I don’t have the tickets. Customer care service is pathetic, they don’t have adequate information on why the tickets are not being issued. they never forward their calls to their manager.Never buy tickets from them."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
Ramdoss AS,chennai,Deepak SContact the airline directly for issuing updated flight ticket I had such a experience with cleartirp.com booked for Air India. After making reservation before the departure date two times my flight details changed first time the flight number changed and second time the time of departure flight was pre-poned Both time cleartirp informed me over SMS and I got updated ticket from Air IndiaI am satisfied with cleartrip as they updated me immediately at both times
ksr_kiran,"London, United...","dont use this site, they will collect your money and send wrong booking id, when u cross check the booking ID provided by them it will be wrong booking id.For 4 to 5 days they say they didnot received the amount, after 6th day they will refund the amount which will take another 5 days.It happend twice to me and i am still struggling to get my money backdont use this site, they will collect your money and send wrong booking id, when u cross check the booking ID provided by them it will be wrong booking id.For 4 to 5 days they say they didnot received the amount, after 6th day they will refund the amount which will take another 5 days.It happend twice to me and i am still struggling to get my money back"
ksr_kiran,"London, United...","Yes they are sending wrong email stating the booking is confirmed, just think i have booking for hyd to london two time and they collected 55 thousand each time totoal 115 thousand.And not refunding my amount for alteast 15 days, this is the cheap trip done by this website to boost there income.There are getting free interest on the customers money, and all the troubles to the customers.and another most horrible thing, they are collecting the money from us and we need to prove ourself that we paid the amount and beg them to return our amount which they will do after 15 days.Yes they are sending wrong email stating the booking is confirmed, just think i have booking for hyd to london two time and they collected 55 thousand each time totoal 115 thousand.And not refunding my amount for alteast 15 days, this is the cheap trip done by this website to boost there income.There are getting free interest on the customers money, and all the troubles to the customers.and another most horrible thing, they are collecting the money from us and we need to prove ourself that we paid the amount and beg them to return our amount which they will do after 15 days."
Ashwin N,"Ahmedabad, India",Make my trip is a pathetic service provider. I made the whole payment and was liable for a discount on my card but they have not refunded till date. The whole trip to manali and kullu was organised by them which went horribly wrong as the hotels booked by them was so so horribly bad that you can not stay there. i had no option but to stay there since i had spent there.A total waste of money and terrible service. Please do not use Make my tripMake my trip is a pathetic service provider. I made the whole payment and was liable for a discount on my card but they have not refunded till date. The whole trip to manali and kullu was organised by them which went horribly wrong as the hotels booked by them was so so horribly bad that you can not stay there. i had no option but to stay there since i had spent there.A total waste of money and terrible service. Please do not use Make my trip
Seemz41,Chicago,"Please be advised- do NOT use this company at any cost. When I went to their office to complain, and I asked them if they had any standard for customer satisfaction- the ""manager,"" Hardeep Singh Chauhan replied by saying ""Kind of""- Would you use a company who ""kind of"" wants to make their customers happy? I sure don't! On top of that, Mr. Chauhan and the rest of the Vadodara staff did not seem to care about our concerns what so ever and was even so rude by talking over me the whole time I was trying to voice my complaints! TERRIBLE COMPANY, TERRIBLE SERVICE!!!I provided them with a detailed itinerary of the cities and sites I wanted to see during my trip to India and they took away cities I wanted to see and added cities that I did not want to see. Not only did I not want to go to some of those cities, but I was made to feel unwelcome in thaose cities because I do not look Indian. I basically did their job for them by making the detailed itinerary myself and they still managed to mess it up. All they had to do was provide a driver and book the hotels and they gave us a driver that had no idea where he was going! We wasted on average 1-3 hours in between each city just because our driver didn't know where he was going- he did the best he could but the company should've provided him with a GPS."
archids i,,"I will never ever use them again. What a scam!I booked a round trip domestic flight between Madurai and Mumbai and the price was pretty much same as what I would have gotten from the airlines website directly. This is fine at first. But beware when it comes to any changes or cancellation on your itinerary. The airlines charged about Rs.1600 for cancellation. But MMT adds a whopping Rs.2000 processing fees on top of it. That too, it says as approximate amount and the actual refund is even lesser. This is an absolute scam as the actual refund will always come out lesser than the quoted amount online when you do the cancellation. If it's a matter of couple of hundred rupees on top of airline cancellation charges, it makes sense. But this is just robbery. What processing fee? Everything is computerized. This should be a percentage of airline's cancellation charges and not almost double that of.Will never ever use this website again and so should you.good luck!"
Rajesh B,"Bengaluru, India","There is no 'interesting part' of our stay, as my experience was horrible. We travelled as a family (inlcuding parents) and after a long and tiring journey when we reached the hotel expecting a check-in, we were shocked by their response. Though we have booked the rooms well in advance paying the total amount and showed the email confirmation about the room availability from makemytrip, they refused to provide the rooms stating they have not received any information or payment from makemytrip. They also told that there is a large amount due from makemytrrip, which forces them to reject such online bookings. We tried calling the makemytrip customer care and had to fight for about 1-2 hours to arrange a checkin. There was lot of confusion and nothing was set up properly. Finally when we checked-in, we have lost our valuable time and had to cancel our plans for the day. What we expected to be a pleasant and awesome trip with family turned out to be a terrible experience only because of the irresponsibility of makemytrip and hotel team. We came to know that two of our friends also had a similar experience with makemytrip and one of them had to drop the plan, cancelling their stay at the hotel booked. We have decided not to deal with makemytrip anymore and never recommend this site for anyone.There is no 'interesting part' of our stay, as my experience was horrible. We travelled as a family (inlcuding parents) and after a long and tiring journey when we reached the hotel expecting a check-in, we were shocked by their response. Though we have booked the rooms well in advance paying the total amount and showed the email confirmation about the room availability from makemytrip, they refused to provide the rooms stating they have not received any information or payment from makemytrip. They also told that there is a large amount due from makemytrrip, which forces them to reject such online bookings. We tried calling the makemytrip customer care and had to fight for about 1-2 hours to arrange a checkin. There was lot of confusion and nothing was set up properly. Finally when we checked-in, we have lost our valuable time and had to cancel our plans for the day. What we expected to be a pleasant and awesome trip with family turned out to be a terrible experience only because of the irresponsibility of makemytrip and hotel team. We came to know that two of our friends also had a similar experience with makemytrip and one of them had to drop the plan, cancelling their stay at the hotel booked. We have decided not to deal with makemytrip anymore and never recommend this site for anyone."
Giacomo G,"Belluno, Italy","Referring to our request and contract there has been many problems.First of all we asked and pay in advance for the following journey: Palolem-Badami-Pattadakal-Hampi. Normaly toll and taxes are included in the contract: this time we had to pay INR4,700 for government taxes passing by the Karnataka. Second thing: when you ask for a precise journey, you have to pay the extra kilometers OUT of the journey, NOT the those that go out ""extimated"" ones. We were obliged to pay INR 7,000 more because we exceeded the ""extimated"" kilometrage. Extimated approximately by the garage. This policy is completely off the rules of vehicle rent. I asked with an e-mail about this policy and mr. Abhikesh Rajput (Make My Trip) gave me reassurances that we had to pay only extra kilometers OUT of the fixed journey. In that case the answer was NOT so clear. Second thing: we were 12 people, from Italy, obviously with luggages. In our first e-mails we asked precisely a Tempo Traveller or similar. We have received a 12 seats van and we travelled submerged by our luggages! It MUST be obvious that 12 tourists cannot arrive in India without luggages.Third thing: the driver had to arrive at 9.30. He arrived in Palolem at 10.40 and we departed at 11.10. Fourth: I asked the driver to do only big roads and highways. He took a country road with holes and we missed about 3 hours, so it was impossible for us to sightsee Badami in the afternoon. We had to go to Badami and Pattadakal the day after, loosing more time and extra kilometers.Fifth: the manager of the garage was unable to treat with tourists and threatened me when I asked a solution for the extra kilometers and the taxes. At the telephone was impossible to reach a gentlemen agreement. He threatened me to call police and government to push me pay. I did not received any bill for my cash payement! In any case also support was really non-existent and no clear. In a e-mail they wrote ""we tried calling you on 8866156453 however we are unable to reach you"": IT IS NOT MY NUMBER !!! This is customer care?For this reason I pretended a refund of 11,700 INR for our inconveniences: obviously no refund and reason by them side. A part from this I will not suggest to anyone else (company, travel agency or private) this agency and I will not give on internet web sites a good review about your service."
priyanka22,"New Delhi, India","MAKE MY TRIP PATHETIC TRIP!!I am having the WORST EXPERIENCE at Make My Trip! I travel a lot and book my trip either through a site or on my own and thought of trying Make My Trip for the first time. I am planning a trip with my family to Hong Kong. Little did i know that their service would be so pathetic!!!  when it comes to payment time, trust me no one is more active than them, they would call you every single day 2-3 times disturbing your busy schedule hovering on you for the payment!And when it comes to service- you will stop getting calls as soon as they receive your payment, I am chasing them like dogs, and guess why, because the advance I have payed is non-refundable. We pay these companies commission to plan our trip and take tension off our head while we do something fruitful in our busy schedule but with this company its like paying them to increase your tension!My trip is in 5 days and i haven't received any call regarding my queries. Who am i suppose to blame for that!Please never book with this site!! They have got the laziest staff ever!!!"
Anitha B,"Detroit, Michigan","worst customer service for any post sales, horrible never book on make my trip.I was on hold for 1hrs for 2 times to clarify something because my trip needs changes due to a connecting flight cancellation due to thunder storms in newyork.They just left me on hold wihtout any response for hours.. WORST SERVICE .."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
