Customer,Date,Review
"Aseem of Mumbai, Other"," March 4, 2017","MakeMyTrip customer service and rewards program - I had got a free night as I had booked 4 nights with them. However, for reasons beyond my control, I missed redeeming it (they didn't send me any sms reminding me either) and when I realized it and called them day after the expiry, they refused to help and when I escalated it to the supervisor, they kept the call on hold for fifteen minutes and then dropped the call. Pathetic way to treat a customer who must have made at least fifty bookings in the past decade. They will now be a last option for me."
"Arati of Mumbai, Other"," Feb. 10, 2017",I have cancelled my flight booking in the previous month itself. They have not refunded entire amount and whenever contacted do not clarify on reasons for not refunding the amount. Although they have sent me an invoice for cancellation refund but paid back into my bank account very less amount. Very ridiculous & disorganized service.
"sameer of Clyde, Other"," Feb. 2, 2017","MakeMyTrip is the worst website for booking Holiday packages. I booked my Holiday package to Udaipur and specifically asked for hotel Jagat Niwas. Initially they said its ok and asked me to make the payment. Once the payment was made they changed my hotel details and I get to know about it when I arrived at Udaipur. We were told by our taxi driver that they have booked us into Fern hotel. When I spoke to their customer care, they started blaming me that I agreed on this hotel. I asked them to check their recordings but they kept on denying it. Finally after my trip and around 50 calls later, when they went through their recordings they admitted that I was right. When I asked for compensation nothing was offered to me. I strongly recommend people coming from foreign countries to not go through Makemytrip, as they will rob you in every possible way. They are quite expensive and their customer service is very pathetic."
"Alam of Easy Rockaway, NY"," Jan. 31, 2017","I am a frequent MakeMyTrip customer who until today enjoyed doing business with this agency. This was by far the worst experience I had and am absolutely disgusted with the way they treated me. I had purchased my destination ticket from Jaipur to Lucknow with the airlines, Air India. But I wanted to cancel this purchase since I had found a better offer with Jet Airways. So regarding this matter I first called the MakeMyTrip customer service line. They had told me that I would have to pay a cancellation fee of 340 rupees. What I didn't understand was that why I had to pay a single rupee when it hadn't even been an hour since I purchased my ticket and MakeMyTrip guaranteed a 24 hour free cancellation service."
"Arun of Cardiff, Other"," Jan. 21, 2017",MakeMyTrip completely ruined my holidays at Singapore. I booked a package with MakeMyTrip. Just 10 hours before my travel I received a call from an customer service agent of the above company and he informed me that the hotel room which I booked in Singapore was unavailable and I was provided with another hotel and they assured it was a 3 star hotel.
"Amelia of Toronto, ON"," Jan. 19, 2017","Recently booked a trip from Mumbai to Kerala and was dissatisfied with the service. Was told - if I need to make a complaint, I should email and someone would get back to me. Sent few emails now - no one has called."
"Tushar of Kol, Other"," Jan. 13, 2017","MakeMyTrip is the worst travel agency which I ever faced. Guys try not to book any hotel through MakeMyTrip. I had a worst experience with MakeMyTrip. I had booked a hotel room from 04.01.2017 to 06.01.2017 at hotel New Vasantashram (near CST station) on urgency basis just before arriving CST station at around 10:05 PM from MakeMyTrip for my stay near station through mobile app and train onboard. The booking was done and I received confirmation message from MakeMyTrip. Also it is mentioned in SMS that I had to show this SMS at hotel. But the hotel person denied the booking saying two things: (1) Our room rent not that as booked at MakeMyTrip, and (2) I had to show printout booking copy for confirmation (mention: nobody carrying printer on train), also said that they didn't have my booking intimation from MakeMyTrip. All booking amount I lose."
"Mohit of Patna, Other"," Jan. 9, 2017","I agree with all the reviews before mine, and I wish I had read them before trusting Makemytrip. I had a similar problem with the site. I had booked a ticket from MMT on a Spicejet flight from Calcutta to Guwahati on 21 Dec 2016, and the flight timing was preponed by 5 hours (when I booked flight was supposed to leave at 6:20 PM, it was preponed to 1:20 PM). SpiceJet informed MMT about this changed time, and MMT failed to inform me at all: no email, no phone calls, no message, nothing. The ticket I printed from the site before boarding my flight had the incorrect flight time."
"Raji of Mumbai, Other"," Jan. 2, 2017","MakeMyTrip is the worst travel agency which I ever HAD. Guys never ever book any Tour Package or any hotel through MakeMyTrip. I had a worst experience with MakeMyTrip. I had booked a hotel room from 28th Dec 2016 to 1st Jan 2016 (Greenwood Meadows) from MakeMyTrip for my goa trip. The booking was done in the month of September and the same day I received confirmation voucher twice from MakeMyTrip. 5 days ago my journey, I reconfirmed the same with MakeMyTrip to check whether my booking is confirmed or not and one of their customer support person informed me that ""your booking is confirmed and you don't need to worry about that."""
"fgga of Cdcas, Other"," Dec. 31, 2016",I booked two rooms from makemytrip.com in www.veronicaguesthousegoa.com hotels. They gave the rooms to someone else and threaten us to leave the hotel. We called MakeMyTrip guys but they didn't take any action.
"Neeraj of Pune, Other"," Dec. 31, 2016",MakeMyTrip budget hotel domestic tie-up is done without any due diligence. I booked my Gujarat Trip through Aman ** and hotel in Somnath with name Madhuram was terrible. It had fungus on walls and bathroom. Also hotel in Dwarka called Sea View was very unclean and unhygienic. I want MakeMyTrip to do proper survey before tying up with hotels and give me my money back for Madhuram as checked out because of unhygienic condition. My booking ID with MakeMyTrip is **.
"SHEIKH of Chennai, Other"," Dec. 30, 2016","I logged on MakeMyTrip.com website with my user login and password on 27th Dec to book 4 tickets from Chennai to Madurai. After selecting the flight and paying the money through NetBanking, the error message from MakeMyTrip website said that the transaction and booking could not be done due to internal errors (or something to that sort as I don't remember the exact words) AND it also said that they will credit 100Rs in my wallet to compensate my problems with the booking and that I can use that amount for future booking. As I had to book urgently as the fare was already double of what I paid last time, I made the booking thru Yatra.com with no hitches or delays."
"Vipul of Mumbai, Other"," Dec. 26, 2016",Make My Trip has completely ruined our Dubai Trip Experience. And thanks for that. Below are the issues which were faced by us from the date of booking. We had done Dubai Trip booking on 7th of December for 4 Nights 5 Days (21st Dec - 25th Dec) through MakeMyTrip. We made full payment for trip by 8th December. In spite of making full payment they did not give us air tickets and travel vouchers till the last day. Only after continuous hours of calling at their customer care and sending emails to their executives we received e-tickets on 20th December one day before travel date. 
"justin of Bb, Other"," Dec. 20, 2016","This was my first and worst experience with MakeMyTrip. I made a mistake, will never go to this company for any booking. Their pre-sales support is very good, they will promise many things, they will always ask you to make your payment, once you make your payment no one will reply you at all. My suggestion is not to go with MakeMyTrip."
"Mangala of Fremont, CA"," Dec. 19, 2016","I wanted to book my Travel package (flight, transfers and tours) from Bangalore to Bangkok, Phuket and Krabi. Initially the customer service for very good, they sent all the details on time and once I paid my full amount. They did my flight reservation immediately, However they did not do my transfers and tours booking. They kept saying that I will get the details only 2 days before my travel. We were supposed to join another family traveling outside India, they needed to know our details so that we can plan our trip accordingly. "
"Jatinder of Mohali, Other"," Dec. 17, 2016",From Mumbai to Chandigarh. Flight no :- 6e-996. We are very unsatisfied from your services and we have never expected this worst service from your side. We request you kindly refund as soon as possible as we are facing the worst harassment from your side. As we have to arrange for another flight at the last legs. And we have to pay huge fair. And you even did not informed us of cancellation. If refund is not made then we will move to Consumer Forums. Being an unsatisfied consumer.
"HIND of New Delhi, Other"," Dec. 14, 2016","I have booked my Andaman Trip with MMT. The person who took my booking was Mr. **. While taking booking for 7th January 2017, he said that there is only one room on that day and hence go for one room. I am travelling with my 13 yrs and 8 yrs son and daughter respectively. While taking booking he said that we will give you one king size bed and one extra bed for your son. I went ahead with booking. As soon as payment was made, he started making excuse and saying that next day I will send the confirmation on king size bed."
"vijay of Mumbai, Other"," Dec. 11, 2016","I have very bad experience with MakeMyTrip. They are not support the customer when customer actually need their help. My package include 1) two way flight booking from Chandigarh to Mumbai; 2)Sightseeing of Manali, Shimla and Chandigarh; 3) Hotel booking of Manali, Shimla and Chandigarh. My complaint is when I reached Chandigarh at Golden Plaza Hotel, my driver Sunil and his boss Baldeep ask for excess payment of Rs. 1500 for Chandigarh sightseeing. If I don't make the payment he refused for sightseeing. "
"Make of Faridabad, Other"," Dec. 6, 2016",I am not worried you haven't solved my issue and I have lost my money with MakeMyTrip. Buy undergarment for your wife from my 50k money. She'll enjoy all life. I am worried your ** customer care services also. Every time a new person received call and you have to repeat all details again and again and all customer care person has different answers. You are making fool to people.
"Vimal of Saddle Brook, NJ"," Dec. 5, 2016","I checked Air India site only to find out my reservations were canceled. When I called AI they could not help me. I could not get through anyone at Make My Trip. When I did, two people hung up the phone because I could only deal with person who I worked with (Ankit). Make My Trip had obligation to notify me. My flights were fully paid 9 months in advance. This is the worst, the worst company on the face of online travel sites. Please avoid working/using this website at all cost. I need someone to guide me on how to sue this business."
"Anirudh of Bangalore, Other"," Nov. 19, 2016","MakeMyTrip is the worst travel agency which I ever HAD. Guys never ever book any Tour Package through MakeMyTrip. I had a worst experience with MakeMyTrip. I had a plan to visit Europe on December 4th with my friend. When I searched the details in Google, MakeMyTrip was the first option I found, and I send a query to them. Next day I received a call from a MakeMyTrip staff (Sudha ** | Holiday Expert, Mobile: **) and she send me the package details. Total cost for the trip was INR 1,88,000 and I paid the initial amount of 94000 Rs and send the passport photo copy as well. Holiday expert told me I will get a call from visa process team in few hours. I didn't receive any call from them for next 2 days. "
"Aarti of Kolkata, Other"," Nov. 8, 2016","I had booked a refundable flight to Vienna from makemytrip.com. I was supposed to return on 7/10/16. However due to ill health of my father in law who had to be hospitalized as he was suffering from Dengue, I planned to return immediately. I tried to modify my booking and change the date to 29th Sept, 16. Since I could not modify my booking, I cancelled it. I got an email from makemytrip.com to confirm the cancellation. I confirmed on email immediately and also informed them that since I am in a foreign land with no access to phone, kindly cancel my ticket. I bought a new ticket and returned back on 29/9/16. When I called up the toll free no of makemytrip.com to know about my refund status, on 4/10/16, they said that they had not cancelled my ticket despite my email confirmation asking them to cancel. They pretended to have no idea about the cancellation."
"Shubham of Sikar, Other"," Oct. 27, 2016","I had made flight booking from CHENNAI to JAIPUR on 24th Dec 16 through makemytrip. Today I received message and email told my flight bookings have been cancelled though I have not cancelled the same. I checked with INDIGO Airlines today to reconfirm the same and I am being told that ""your flight bookings have been cancelled by the agent."" My booking ID number is **. I have still not received any resolution and each time I contact their customer call centre there are different agents taking us on a ride. The flights is cancelled without any notification. My programme is final and this issue cause a problem to my studies as I am a Student. Looking forward for your timely response and reimbursement."
"Rajesh of Margao, Other"," Oct. 26, 2016","Makemytrip cheats the customers, while cancel the ticket. Before cancel the ticket cancel amount was 2300/- after cancel the ticket, deducted Rs.7763.00. Concern department should take a step to stop this types of cheating & fraud activities."
"Asma of Bangalore, Other"," Oct. 26, 2016","MakeMyTrip is the worst experience I ever had. Although having so many collaborations with such big airlines they don't know even the status of the customers flight. Customer Care Supervisor (Vignesh) is a waste to talk with while he will blame the customer only but can't take the feedback. Rather than telling they don't communicate with airlines after booking flight for any purpose they will start blaming the customer, that for all refund procedures customer not only has to contact the airlines but also has to contact the site and this is not their fault that airlines didn't informed to the customer even after wasting customers one month. "
"Amit of Delhi, Other"," Oct. 19, 2016","We took a MMT European Bonanza trip (18th July 2015 - 30th July 2015) and spend a lot of amount on the travel itinerary. We were very dissatisfied with their service, also escalated our issues to them via emails/phone calls (but not even a single acknowledgement/response till date) which is a complete contrast to when they sell packages where they promise you the moon. "
"Santanu of Kolkatta, Other"," Oct. 17, 2016","This is a completely fraud company having inhumans with no sense of manners and fully commercial porters of D grade qualities with no idea of the meaning 'guests' amongst them. I went with my one and half year kid along with my wife for this group tour and made a horrible, pathetic and disgraceful experience. Still having nightmares for being involved. They don't even care to give you a family seat row in flight even knowing you carrying an infant and you have to pursue the airlines for arranging this in proper rows."
"Sharmeen of Mumbai, Other"," Oct. 14, 2016",I have been a very loyal customer to Make My Trip and it was a big shock for me to see that they have changed my booking date. Now when I'm asking them to change my date cause it wasn't my mistake but system's mistake that it did show 7th Nov. 2016 to me and it booked 7th Dec. 2016. Now for date change they are asking me to pay around 2250 and 300 for convenience fee and air fare rates would be separate. Such a good way of taking money from people's pocket. A big round of applause for you guys who is not even ready to help inspite of calling so many times. I had booked round trip and they have goofed up by changing the month from 7th Nov. 2016 to 7th Dec. 2016. It is so not cool.
"emil of Fatehpur, Other"," Oct. 10, 2016","My booking ID for hotel East gate in Agra on 8/10/2016 **... I booked a 3 star room in hotel east gate and your policy states there's no need to confirm the booking with the hotelier or the website. And I trust you people and reach this hotel with 2 families and kids only to find out there's no room in the hotel for us at 11:30 pm in the night... And the hotelier had the audacity to take us and show some dingy room in an adjacent hotel. On much insistence I got rooms in a 2 star hotel, much substandard and not worth the money I paid for... The hotelier of east gate hotel says my deal was with MMT so go better ask MMT. They made me roam around agra for 1 hr to get a room and screwed up my holiday. MMT customer care said we'll be given complimentary breakfast (please check your voice record if you don't trust me). "
"Arjun of Bangkok, Other"," Oct. 4, 2016","Dear #MakeMyTrip, #MakeMyTripCare. I booked my round trip air ticket from MakeMyTrip, from Bangkok to Indore and from Indore to Bangkok. After a few days I received an email from MakeMyTrip saying that the flight has been rescheduled and you can change your travel date free of charge, the email reads ""NONEND/NONREF VALID ON AI REISSUE/DATE CHNGE FREE OF CHARGE/NOSHOW THB1500/ REFUND THB2000 DOMESTIC CHANGE-THB300"""
"Vijayendra of Kalyan West, Other"," Oct. 1, 2016","My experience with Bus booking with MakeMyTrip is very bad. I made booking for Mumbai to Mahabaleshwar and it was done fine, but when I did return booking from Mahabaleshwar to Mumbai twice I made the booking and made payment through net banking. First time it said, ""your booking could not be made, but the payment got debited."" I thought let's try for second time. Again it showed that my money is debited, but no confirm booking. I have already made payment twice and the amount comes to Rs. 3600. Without booking any bus seat, I have my money with MakeMyTrip. Though it is saying it will be credited, but kind of harassment, time, money and frustration that MakeMyTrip is giving is horrifying. Would request you all not to make payment online for bus booking with MakeMyTrip. Bad experience."
"shagun of Delhi, Other"," Sept. 29, 2016","We cannot suffer for mistakes MMT does. Issue: I booked 2 tickets through MMT for 28 October 16. I called indigo up for rescheduling it to 22 October 16. They asked me to call MMT for refund related queries to my bank account. I then called MMT to proceed refund of Rs. 1400 Approx. and Rs 6667 for both the tickets to my account. MMT executive asked me to cancel my 28 October 16 booking through the website. I asked ""will it affect my 22 October 16 journey??"" She said ""when you are not travelling on that date it has nothing to do with your current booking."" I followed the steps told by her. She asked me to cancel my 28 October 16 booking. I got the mail for 28 October flight cancellation as discussed with her. After 4 hours I got a message from them that my 22 October 16 booking stands cancelled."
"Usha of Delhi, Other"," Sept. 13, 2016","Dear concern, this has reference to my international travel ticket booked via Makemytrip.com. I purchased flight tickets of Air India from Delhi to Singapore. Travel dates: 25.08.2016 (Delhi-Singapore) and 22.09.2016 (Singapore-Delhi) via Makemytrip.com. Due to some medical reasons in the family, I needed to extend my stay in Singapore and suddenly the battle began. I was shocked with the insight this whole thing has brought to light. Thinking all would go as planned, I got my Singapore Visa extended, which happened in less than a day's time. Post which I tried to change the flight ticket return date from 22.09.2016 to any date between 21.10.2016 to 24.10.2016."
"Sujith of Cochin, Other"," Sept. 10, 2016","My name is sujith, and I have booked 2 tickets through makemytrip on Aug 31st... but the dates entered are mistaken and unfortunately I had done the payment to makemytrip. And when I realised my fault the same day itself without that much delay I contacted the airlines team (indigo airlines), and they helped me out in cancelling the tickets, and assured me on goodwill basis they will refund the whole amount without any deduction, and the same will be send to makemytrip team, as I had booked the tickets through their online portal. And also I was asked to call the makemytrip team to get the ticket cancelled from their side also."
"Amit of Bareilly, Other"," Sept. 6, 2016","I have booked a package for Swiss Paris delight and at that time they take 20% price of package as a booking amount. Later on they told me regarding visa appointment and my visa was rejected. I asked them why my visa is rejected, they replied that they can't say anything and now my package is going to be cancelled and your booking amount will not be refunded. I said, ""Why?"" They replied, ""That is our cancellation policy."" I told them that these policy are one sided policy or disclaimers. This doesn't stand anywhere and if my visa was rejected and you are saying that this is not your fault, though even I'm saying the same that it is not my fault too, whatever the documents are required by you for visa I have sent you so why my visa is rejected that is your job. You are doing this for long time so you should know about the appropriate documents."
"shilly of Bangalore, Other"," Sept. 1, 2016","We had made a booking on 1st August 2016 for Rome and Paris honeymoon trip with a payment of RS.102,915. Monika ** is the point of contact person for this process. She promised us that 7 working days are sufficient to get visa and hence we opted to travel on 24th August 2016 and then we applied for visa on 10th August 2016 with the help of vfs. We were really worried about visa and we requested Monika if in case we are not getting the visa can we postpone the travel dates to next month. Monika agreed to this and informed us that she will get back to us on the same. But we are very disappointed to see an email from Gargi ** (another ** involved in cheating us) stating that booking has been cancelled without a prior intimation."
"Rajagopal of Coimbatore, Other"," Aug. 26, 2016",MakeMyTrip purposely cheated me. 
"Haridas of Thane, Other"," Aug. 24, 2016","MakeMyTrip customer support is very poor. I booked my ticket from India to go to US and back. I was given a customer support number in US. Now I want to change my date of return travel. When I contacted the customer support 1-800-4634210, the automated message says it only deal with MakeMyTrip ID starting with US whereas our ID is starting with IN. When I tried for chat mode I got the message that ""You are first in the queue and average waiting time is 22 minutes. As I was desperate I waited for 22 minutes, but still the message said that ""Searching for a customer support."" After 5 minutes it says ""No customer support available, try later!!!"" This happened 3 times and am still trying to contact customer support. I made a mistake, never will go to this company for any booking."
"Kokila of London, Other"," Aug. 19, 2016",Person booked my flight without updating my contact details of MakeMyTrip flight with SpiceJet. Person now telling me from SpiceJet that I need to speak with SpiceJet which is crazy for updating details and contact details before issuing tickets.
"Nagarjuna of Pune, Other"," Aug. 11, 2016","I booked one ticket from pune to Vijayawada (AP). MakeMyTrip sent an sms that its boarding time is 8:00 pm. I started from my home to pickup location but the bus was started 7:00 pm. I tried to reach makemytrip. They are responding properly. Their service too worst. I lost my money 1935 INR and I lost bus and money because of only MakeMyTrip. They did not inform me bus time was changed. They did not call me before I am call to them. I sent so many mails to them. They are saying everytime ""sir please wait 24 hours. We will get back to you."" Every day they are saying same. Even they did not call me to explain things."
"Mohan of Dubai, Other"," Aug. 4, 2016","I made a flight booking thru MakeMyTrip.com in July 2016 for a trip to Singapore on JET Airways flight and paid full amount to makemytrip.com and received a confirmation of the amount received and the e-tickets will be emailed soon. I called Customer Service after one hour, the staff took the phone informed me that it will be issued in 4 hours time. I called again after 4 hours, the staff informed me that it will take 7 seven days to enquire and reply to this complain. I informed her the urgency of the matter and she advise she will take up the matter with the concerned department and get the ticket issued. "
"Yashpaul of Zirakpur, Other"," July 31, 2016",My experience of booking international tickets Delhi to Boston was horrifying and rather eye opener the way customers are cheated. I find option of Delhi to Boston return tickets from 15-9-2016 to 5-10-16 for 58882 and I proceeded for booking and when I finally clicked for payment a message appeared at top of screen. Airline has revised fares for 23679. I again changed dates in same fare bracket and again this happened. Surprisingly after half an hour fare appearing was for 58780 and this was purely bluffing technique adopted by MakeMyTrip that when you finally click for payment fares are revised abruptly for higher amount.
"Didar of Mumbai, Other"," July 23, 2016","This is the third time I am suffering from their fraud with me. When you need to change the date, they will send you to airline and airline sends back to MakeMyTrip saying, ""you are not our direct customer,"" and ""we don't take responsibility."" So it's better to book directly with airline rather than booking through MakeMyTrip. Yes it takes little longer but at least they respond if any changes or cancellation. MakeMyTrip is the worst at customer service. I don't want to give them even 1 star but since selection is necessary - I gave them."
"Jai of New Delhi, Other"," July 22, 2016",These people's fraud. I booked a hotel through them on 14th July and I paid through my credit card. Then using those card details they deducted money twice. Yesterday I got call from my credit card company by saying that if I made 2 similar payments to Makemytrip or not. I was amazed and denied for it. My bank department suggested me to talk with billing department of Makemytrip before filing dispute. 
"S.H. of Waterloo, ON"," July 13, 2016",My flight booking from Pune to Bangalore for 6th of July 2016 failed. My hotel stay at two hotels in Dubai for 10th of July 2016 failed. They took the money from my bank account and then said booking failed. Still to get their refund. I had to shell out more money to re book my flight and hotel stay leave alone the nightmare. Just stay from these folks - you will never make your trip with these guys - end up in cardiac care at the nearest hospital if you still access their website MakeMyTrip.com.
"Ezazuddin of Dubai, Other"," July 12, 2016","I called up MakeMyTrip customer service after coming across an offer for flights tickets from Kolkata to Phuket at INR 150000 less it was perhaps an unpardonable mistake from my end. The representative who answered my call said he can only assist the existing customer and there was no other option on the IVR to assist the new customer. When I inquired if there is a number to call on to check about making a booking the representative said there is none. The office is currently under process to be moved and that there is no number to call and no one to reach in order to make a booking. ""The employees who look after the new customer are here and there"" was the agent's words. So what sort of a company only deals with existing customer?? Once all your already booked customer have boarded their flights are you planning to shut down??"
"Lalit of Delhi, Other"," July 12, 2016","This was my first and worst experience with MakeMyTrip, I was not able to book online, so I had to go for offline through Makemytrip-agent. I did not get any discount shown on website, in my Case Price shown on website for my package was 9K, for 3 persons it should be 27K plus 8K discount/offer for online. But offline I had to pay, 52K no discount, almost double of what I expected with promise that package has been upgraded to better service/hotels."
"Sandeep of Bangalore, Other"," July 11, 2016","Sub: Booking ID **. Please refer the above Booking ID, which we received on 7th July 2016 when we booked the ticket from Bangalore to Phuket on Sat 9, July 2016 and Phuket to Bangalore 15, July 2016 through MakeMyTrip India Pvt Ltd. Note: When we arrived at Kempegowda International Airport, Bangalore with the print out of Booking confirmation which we received from MakeMyTrip (MMT), we were totally shocked to hear that there is no reservation. As a responsible company MMT should have informed us of any problem in issuing the ticket. Immediately we contacted MMT, but unfortunately was no proper response from MMT and we have to return back home. Because of MMT mistake we had suffered huge loss in terms of financial as well as personal as we had family gathering for 1 week and we already had hotel booking in Phuket."
"Anita of New Delhi, Other"," July 8, 2016","Misleading/incorrect information was provided by assistant sales manager of MMT, Mr. Ravi **, during booking of tours. We (two ladies) have booked a group tour to Sri Lanka in March of this year. On reaching there, there was no sign of a group tour. The only two members of the so-called group were two of us. There was no response to a number of e-mails sent in this regard until the matter was referred to higher authorities. However, no indication of apologies or accepting the error."
"kalyani of Bangalore, Other"," June 30, 2016","We had travelled by MakeMyTrip to Leh on the 21st of May and returned by 29th May. It was one of the most horrible experiences we had. Ours was a flight only with a hotel at Delhi package which was booked under 2 booking ID's. One as a flight from Bangalore to Delhi return. The other was booked as a holiday package booked from Delhi to Leh and return on their chartered flight with one night stay in Delhi. The ordeal of booking was never ending with the bookings delayed so we could not get the hotels we wanted. A package that was promised and after payments were made, we were told that the hotels were no longer available so we will have to choose another one. Finally we reached Leh after making arrangements for stay on our own. The return flight from Delhi to Bangalore at 1:00 Pm was booked without baggage option and we were told we might have to pay per kg. So it was expected that we shell the amount. "
"Shareef of Dubai, Other"," June 29, 2016",I had booked ticket from Trivandrum to Dubai for my family. Make my trip web portal never asked addition charge for baggage and even not mentioned baggage allowance details in E-ticket from MakeMyTrip. I have cheated by MakeMyTrip and I paid 13500 INR for baggage. I had experienced very bad attitude from customer service. Without asking details those executives put call on hold and run away!
"Pratik of Bhavnagar, Other"," June 28, 2016","I have cancelled my 2 tickets out of 5 in MakeMyTrip... It's 1.5 months gone. They have not given any refund... Very very bad service... you have to literally beg for your money. I had at least 10 calls from MakeMyTrip customer support and every time they say ""your refund have been initialized and will get in 72 hrs."" But hearing this since 15 days... still not received. My booking was through MakeMyTrip Ahmedabad office. While time of booking you get a very good support but if you cancel your trip remember you are gone."
"Vinod of Gurgaon, Other"," June 21, 2016","Regarding south package finalized, I have completed my trip and sharing the experience. Regarding cab driver timing: it was mentioned in itinerary provided by MMT that cab would be available from 6 am to 10 pm, but driver informed that their timings are 9 am to 6 pm. Why there is disconnect between itinerary provided to customer and agreement between MMT and Vision Holidays Coimbatore for arranging cab facility to customer? This has created dissatisfaction and there is no transparency regarding what has been informed for happen and actually what has happened? It is clear case of cheating."
"Aish of Pune, Other"," June 16, 2016","My family faced the worst nightmare ever. My parents had booked the package NORTH EAST DELIGHT WITH LACHUNG-SUMMER SPECIAL (PREMIUM PACKAGE)-INDIA this tour cover Gangtok, Darjeeling and Lachung. First of all, the air tickets were mailed at the last moment. Though it was a premium package, the car hired for us was Trax i.e. the goods carrier vehicle. In spite of reminding the MakeMyTrip concerned person (no names) that amongst the travellers were parents aged 60 and also a 6 months old baby girl, he shouldn't have sent such a bad conditioned vehicle."
"Kshitij of New Delhi, Other"," June 14, 2016","I visited Chail and booked Hotel Grand Sunset through MakeMyTrip App. I booked a total of 4 rooms however on reaching Chail after driving for about 7 hours all the way from Delhi, we were told by hotel that they had only 3 rooms left and they cannot do anything about the booking. I at that moment itself called customer care of MakeMyTrip and they assured to help me. Then I was placed on numerous calls with hotel owner who stays in Delhi and manages his hotel in Chail and finally after a lot of discussion and request from MakemyTrip and Hotel owner we agreed to manage in 3 rooms. We were told that the rest amount for one room will be refunded to us within 7 days. That wasn't enough, now the true story starts regarding refund."
"Venkat of Dombivli, Other"," June 12, 2016","I just booked a 7 days and 6 Nights Package of Northeast with MakeMyTrip for 2 pax. They charged me 79K and promised to give a 3-star property. Everything was smooth till the money got credited to their account. Later I received confirmation mail and hotel confirmations. Return Flight that they provided was 1.25 pm from Bagdogra and we reached Mumbai by 8.30 pm in between a layover of 3 hrs at Delhi Airport which was waste of time. They didn't mentioned the same while booking, Temporary Itinerary showed a flight from Bagdogra to Mumbai. 3 nights were spent in Gangtok and they gave me Central Ninamma which is again one of the worst property with no proper food. I would say tasteless food."
"K of Dindigul, Other"," June 9, 2016","I made booking with MMT in Feb 2016 from Chennai San Francisco for my travel in the first week of May 2016 for me and my wife. I was not able to get my visa for that schedule. The ticket was to travel by Cathay Pacific. I made an online enquiry to reschedule my Trip. The site is so misleading, as though the Passenger can reschedule the date change by the passenger themselves. If you reach the page to reschedule, there it is mentioned that, date change can be made only contacting the MMT (The online chat is only for selling the ticket and for no other purpose)."
"Jayesh of Mumbai, Other"," June 7, 2016",I have had the worst experience ever booking with Makemytrip.com. This time it's for a hotel booking. As usual amount deducted from the account but booking not confirmed. Incorrect total displayed on the website. I receive an email stating booking confirmed but the hotel denied any booking. While escalating the issues to Makemytrip beware as the executives drop the call. Fortunately when I able to connect I was initially informed by the Makemytrip customer service executive that the booking has been confirmed however there was a system issue hence the confirmation ID was not sent across. The executive (Ms. **) then promised a call back with all the booking detail but I did not receive any call back. I called back the company and I was informed that the booking got cancelled by itself despite of me getting an email with the booking confirmation email. Booking ID: **.
"Elisha of St Severin, Other"," June 6, 2016","I was robbed in broad daylight by MakeMyTrip.com. They lied to me, stole 400 euros and won't reply to my emails. NEVER EVER use this ""company."" They deserve to go bankrupt."
"Rajesh of Pune, Other"," June 3, 2016",Worst service ever... we tried many to book rail ticket but every time transaction has failed and money was debited from our account. Very bad... only money wastage.
"ajit of Pune, Other"," June 3, 2016","MakeMyTrip really sucks!! Booking through MakeMyTrip is more like ""Make your own trip, but pay me for that."" We had booked China package with MMT in May 2016 and it was a TERRIBLE experience. I would request or warn all the readers to not book with MMT. STAY AWAY from this travel arrangers. They are extremely unprofessional. Truthfully speaking their services are limited to taking money and it ends at that point later on. It is left to small tour operators which they engage in foreign counties. After this no customer care service works. There is no complaint cell where one can register his grievance or escalate the matter. I am giving day by day account of our trip in China. We paid initial amount and for next 50 days there was total silence from MMT. They woke up after we told them that it's high time they take action for our VISA. In fact some people in our group had their VISA delivered on day of travel!! "
"Nina of Mysore, Other"," June 2, 2016","I booked a ticket to US with MakeMyTrip agent. He had promised cashback of Rs. 2000 per passenger. I am still waiting. I must have contacted MakeMyTrip at least 50-60 times each time holding the line for 1-2 hours. They say they will try to solve the problem, but don't get back to us. I am really tired of them. Beware folks, when they promise cashback. They may be doing that just to sell tickets. Also make sure if it's cashback to wallet account or to your bank account. There's a lot of difference. I feel like I am cheated by MakeMyTrip. Hope MakeMyTrip reads this and solves my problem."
"Venkata of Hyderabad, Other"," June 1, 2016",When I booked the ticket their website showed me a message that the ticket has not been confirmed and a customer service agent will contact me within 30 min. to update me. No one called me for 3 hours and when I called them I was told that the booking has been cancelled and the refund has been processed. No communication whatsoever about the cancellation. If I didn't call them I would have found this out at the bus station. They deducted them money and cannot refund for 48 hours. I don't have more money in my account and banks are closed now. I ended up cancelling my trip. Customer service is rude and worst. They didn't even apologize and transferred me to a number that nobody answered for 15 min when I asked to put me on to a manager. This is my second failed attempt to book a trip through your website. Worst experience and will never go back again.
"Charisma of Mumbai, Other"," May 31, 2016","Made a call to the customer care of MakeMyTrip for a query about the cash back. No one seemed to have any answers and they kept transferring the call from one to another indefinitely. I was on the call for nearly 2 hours, holding the line. Need to know who compensates for my wasted time and how."
